date,gwdepth_ft
2026-02-03 12:45:00+00:00,101.37
2026-02-03 12:30:00+00:00,101.36
2026-02-03 12:15:00+00:00,101.36
2026-02-03 12:00:00+00:00,101.35
2026-02-03 11:45:00+00:00,101.34
2026-02-03 11:30:00+00:00,101.33
2026-02-03 11:15:00+00:00,101.33
2026-02-03 11:00:00+00:00,101.32
2026-02-03 10:45:00+00:00,101.31
2026-02-03 10:30:00+00:00,101.3
2026-02-03 10:15:00+00:00,101.29
2026-02-03 10:00:00+00:00,101.28
2026-02-03 09:45:00+00:00,101.27
2026-02-03 09:30:00+00:00,101.26
2026-02-03 09:15:00+00:00,101.26
2026-02-03 09:00:00+00:00,101.25
2026-02-03 08:45:00+00:00,101.24
2026-02-03 08:30:00+00:00,101.22
2026-02-03 08:15:00+00:00,101.21
2026-02-03 08:00:00+00:00,101.2
2026-02-03 07:45:00+00:00,101.19
2026-02-03 07:30:00+00:00,101.18
2026-02-03 07:15:00+00:00,101.17
2026-02-03 07:00:00+00:00,101.16
